broadcastId,sentDate,cmsUrl,deliveredCount,open,clickUU,videoStartUU,videoCompleteUU,1_imp,1_click,1_videoStart,1_video25,1_video50,1_video75,1_videoComplete,1_videoStartUU,1_video25UU,1_video50UU,1_video75UU,1_videoCompleteUU,2_imp,2_click,2_videoStart,2_video25,2_video50,2_video75,2_videoComplete,2_videoStartUU,2_video25UU,2_video50UU,2_video75UU,2_videoCompleteUU,3_imp,3_click,3_videoStart,3_video25,3_video50,3_video75,3_videoComplete,3_videoStartUU,3_video25UU,3_video50UU,3_video75UU,3_videoCompleteUU
183369396,2021-01-19 22:49:30,https://manager.line.biz/account/@qao3025s/broadcast/183369396,12480,5862,688,3994,1641,2138,,,,,,,,,,,,3108,N/A,4837,2769,2400,2106,1863,3994,2318,2050,1821,1641,7676,893,,,,,,,,,,
183596067,2021-01-21 13:33:48,https://manager.line.biz/account/@qao3025s/broadcast/183596067,12514,5251,348,892,122,1995,N/A,996,313,206,165,130,892,284,187,155,122,2569,,,,,,,,,,,,6412,438,,,,,,,,,,
183848659,2021-01-23 13:34:48,https://manager.line.biz/account/@qao3025s/broadcast/183848659,12629,5369,339,3368,431,2212,,,,,,,,,,,,2544,N/A,3993,1104,751,562,465,3368,965,677,516,431,6676,439,,,,,,,,,,
184167048,2021-01-26 13:33:10,https://manager.line.biz/account/@qao3025s/broadcast/184167048,12800,5303,379,726,132,1924,N/A,830,249,211,164,142,726,229,196,153,132,2877,,,,,,,,,,,,6885,515,,,,,,,,,,
184345813,2021-01-28 22:01:23,https://manager.line.biz/account/@qao3025s/broadcast/184345813,12920,5587,N/A,1257,334,2536,N/A,1483,594,480,419,352,1257,548,447,396,334,3989,,,,,,,,,,,,7216,,,,,,,,,,,
184420275,2021-01-31 13:10:58,https://manager.line.biz/account/@qao3025s/broadcast/184420275,13012,5747,117,1385,158,3083,,1561,455,326,217,167,1385,424,308,205,158,3087,158,,,,,,,,,,,6652,,,,,,,,,,,
184425443,2021-02-02 13:33:20,https://manager.line.biz/account/@qao3025s/broadcast/184425443,13076,5335,329,1239,214,2688,N/A,1351,583,420,308,221,1239,548,402,296,214,2911,86,,,,,,,,,,,6254,N/A,,,,,,,,,,
185236351,2021-02-04 14:21:17,https://manager.line.biz/account/@qao3025s/broadcast/185236351,13387,5137,242,842,56,2316,N/A,968,267,193,136,58,842,255,186,132,56,2717,,,,,,,,,,,,6213,N/A,,,,,,,,,,
184426895,2021-02-06 13:41:25,https://manager.line.biz/account/@qao3025s/broadcast/184426895,13472,4359,210,775,121,1974,,888,274,181,147,126,775,252,170,139,121,2144,20,,,,,,,,,,,5512,N/A,,,,,,,,,,
185580585,2021-02-07 13:30:23,https://manager.line.biz/account/@qao3025s/broadcast/185580585,13489,4470,276,520,81,1697,N/A,582,159,128,106,85,520,147,121,99,81,1958,30,,,,,,,,,,,5850,N/A,,,,,,,,,,
184421765,2021-02-09 13:26:57,https://manager.line.biz/account/@qao3025s/broadcast/184421765,13557,4740,199,1143,95,3259,N/A,1333,297,191,135,97,1143,285,184,129,95,2296,,,,,,,,,,,,5516,237,,,,,,,,,,
185927299,2021-02-11 13:33:16,https://manager.line.biz/account/@qao3025s/broadcast/185927299,13640,4023,197,777,138,1845,,886,437,294,202,145,777,398,271,188,138,2228,,,,,,,,,,,,5253,N/A,,,,,,,,,,
186192037,2021-02-12 14:21:22,https://manager.line.biz/account/@qao3025s/broadcast/186192037,13688,4358,200,1076,83,2037,,,,,,,,,,,,2411,,1241,281,186,126,85,1076,268,178,122,83,5632,N/A,,,,,,,,,,
186242877,2021-02-13 14:19:54,https://manager.line.biz/account/@qao3025s/broadcast/186242877,13749,4482,312,614,97,2044,,721,342,207,141,100,614,311,195,135,97,2591,75,,,,,,,,,,,6209,N/A,,,,,,,,,,
186243729,2021-02-14 14:48:46,https://manager.line.biz/account/@qao3025s/broadcast/186243729,13767,3962,N/A,1562,511,2771,N/A,1865,1112,890,701,559,1562,974,791,635,511,5317,,,,,,,,,,,,,,,,,,,,,,,
186469453,2021-02-15 13:47:50,https://manager.line.biz/account/@qao3025s/broadcast/186469453,13744,4695,226,,,2210,,,,,,,,,,,,2116,,,,,,,,,,,,5317,303,,,,,,,,,,
186805116,2021-02-18 13:33:14,https://manager.line.biz/account/@qao3025s/broadcast/186805116,13766,5409,295,916,209,2409,N/A,1015,484,388,294,223,918,450,361,272,210,2802,,,,,,,,,,,,6288,N/A,,,,,,,,,,
187176697,2021-02-21 15:43:05,https://manager.line.biz/account/@qao3025s/broadcast/187176697,13770,5447,234,,,4764,,,,,,,,,,,,6397,N/A,,,,,,,,,,,,,,,,,,,,,,
187344838,2021-02-23 13:33:04,https://manager.line.biz/account/@qao3025s/broadcast/187344838,13765,4594,,771,76,1734,,854,287,186,125,78,772,269,175,118,77,2721,,,,,,,,,,,,5394,,,,,,,,,,,
187613660,2021-02-25 13:32:58,https://manager.line.biz/account/@qao3025s/broadcast/187613660,13774,4539,148,2353,266,3369,N/A,2463,757,496,353,272,2353,730,481,345,266,2114,,,,,,,,,,,,3731,N/A,,,,,,,,,,
187777254,2021-02-26 14:35:57,https://manager.line.biz/account/@qao3025s/broadcast/187777254,13762,4648,,,,3720,,,,,,,,,,,,2786,,,,,,,,,,,,3948,,,,,,,,,,,
