id,total_price,shipping_price,cart,,,,payment_method,order_datetime,delivery_datetime,,vip_flag,admin_short,fulfilled,order_source,subtotal_price,total_discounts,is_delivery,is_gift,has_custom,is_post,transport,edited,is_corporate,promo_code
9978,868,58,"{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""z8vir3b8q4"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}],""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""nlsolry6bw"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",,,,qr,2021-02-11 07:37:30.672742+00,2021-02-11 09:00:00+00,,no,Amy,t,line,810,,t,f,f,f,bike,f,f,
8579,508,158,"{""strawcheese"":1,""pbj"":1}",,,,qr,2021-01-26 08:33:25.802266+00,2021-01-28 04:00:00+00,,no,Kung,t,line,350,,t,f,f,f,bike,f,f,
9565,935,185,"{""cookie"":[{""quantity"":1,""count"":5,""title"":""Box of 5 cookie"",""CORNFLAKE MARSHMALLOW"":1,""MRS CLAUS OATMEAL COOKIE"":1,""SEXY BACK"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""id"":""rx0rpswufn"",""price"":450}],""hella"":1,""cupc"":1}",,,,qr,2021-02-06 14:56:32.172701+00,2021-01-22 01:00:00+00,,no,unkwn,t,,,,f,f,f,f,,f,f,
5984,150,0,"{""hella"":1}",,,,qr,2020-11-25 15:03:23.772006+00,2020-11-21 06:00:00+00,,no,unkwn,t,,,,f,f,f,f,unkwn,f,f,
9979,1160,180,"{""heart-set&redvelvet,ganache.pinkgold"":1}",,,,qr,2021-02-11 07:56:38.784993+00,2021-02-13 05:00:00+00,,no,Kung,t,fb,950,,t,f,t,f,car,f,f,
8580,1856,206,"{""chocpudding-1lb#dearest"":1}",,,,qr,2021-01-26 09:12:09.63313+00,2021-01-30 11:00:00+00,,no,Ja,t,ig,1650,,t,f,f,f,car,f,f,
9566,562,72,"{""heart-S&redvelvet.pink"":1}",,,,qr,2021-02-06 14:56:48.0678+00,2021-02-07 03:00:00+00,,no,Fa,t,line,490,,t,f,f,f,bike,f,f,
2666,0,,{},,,,,2020-07-28 15:04:47.635983+00,2020-07-21 03:00:00+00,,no,unkwn,t,,,,f,f,f,f,unkwn,f,f,
10060,1230,280,"{""heart-set&redvelvet,ganache.pinkgold"":1}",,,,qr,2021-02-12 10:58:56.631741+00,2021-02-14 10:00:00+00,,no,Amy,t,line,950,,t,f,f,f,car,f,f,
9980,750,0,"{""deathchoccake-1lb"":1}",,,,qr,2021-02-11 08:06:04.613812+00,2021-02-11 09:15:00+00,,no,Amy,t,line,750,,f,f,f,f,bike,f,f,
8581,6623,173,"{""custom"":[{""title"":""3 lb Lady in Blossom Red velvet"",""price"":4500,""quantity"":1,""id"":""lirmqakvz4""}],""heart-L&redvelvet.gold"":1}",,,,qr,2021-01-26 09:36:15.307567+00,2021-01-27 11:00:00+00,,free,Gyan,t,line,6450,,t,f,f,f,car,f,f,
9567,785,185,"{""cookie"":[{""quantity"":1,""count"":5,""title"":""Box of 5 cookie"",""MAMA OG"":1,""DOUBLE TROUBLE"":1,""SEXY BACK"":1,""CORNFLAKE MARSHMALLOW"":1,""TRIPLE C"":1,""id"":""8gd22cqk15r"",""price"":450}],""pbj"":1}",,,,qr,2021-02-06 14:56:55.387782+00,2021-01-22 01:00:00+00,,no,unkwn,t,,,,f,f,f,f,,f,f,
3559,300,0,"{""salt"":1,""deathchoc"":1}",,,,qr,2020-08-29 16:17:27.041188+00,2020-08-21 03:00:00+00,,no,unkwn,t,,,,f,f,f,f,unkwn,f,f,
4396,750,0,"{""cupccake-1lb"":1}",,,,qr,2020-09-23 02:08:29.320334+00,2020-09-27 03:00:00+00,,no,unkwn,t,,,,f,f,f,f,unkwn,f,f,
10062,4500,0,"{""ladypink-3lb&kiss,ganache.pink"":1}",,,,qr,2021-02-12 11:35:29.534824+00,2021-02-13 11:00:00+00,,no,Fa,t,line,4500,,f,f,t,f,bike,t,f,
8582,2145,195,"{""heart-L&redvelvet.pink"":0,""heart-L&redvelvet.gold"":1}",,,,qr,2021-01-26 09:47:27.020687+00,2021-01-26 11:00:00+00,,no,Kung,t,line,1950,,t,f,f,f,car,f,f,
9568,1366,216,"{""strawcheese"":1,""heart-set&redvelvet,ganache.pinkgold"":1}",,,,qr,2021-02-06 14:57:14.738534+00,2021-01-22 03:00:00+00,,free,unkwn,t,,,,f,f,f,f,,f,f,
6091,660,0,"{""banana_slice"":1,""coconut_slice"":1,""blackout_slice"":1}",,,,qr,2020-11-28 12:18:09.88526+00,2020-11-26 09:00:00+00,,no,unkwn,t,,,,f,f,f,f,unkwn,f,f,
3051,290,70,"{""coconut_slice"":1}",,,,,2020-08-09 14:35:18.224905+00,2020-08-09 05:10:00+00,,no,unkwn,t,,,,t,f,f,f,unkwn,f,f,
9981,588,68,"{""heart-S&ganache.gold"":1,""custom"":[{""title"":""1 ฆ้อน"",""price"":30,""quantity"":1,""id"":""8ybe71hhgc6""}]}",,,,qr,2021-02-11 08:10:06.940554+00,2021-02-14 06:00:00+00,,no,Gyan,t,line,520,,t,f,f,f,bike,f,f,
10063,1032,52,"{""heart-set&redvelvet,redvelvet.pinkgold"":1,""custom"":[{""title"":""ค้อน"",""price"":30,""quantity"":1,""id"":""5z97cinjjfq""}]}",,,,qr,2021-02-12 11:50:54.869561+00,2021-02-14 09:00:00+00,,no,Ja,t,ig,980,,t,f,f,f,bike,t,f,
8774,1160,210,"{""heart-set&redvelvet,ganache.pinkgold"":1}",,,,qr,2021-01-30 06:36:22.792667+00,2021-02-12 02:00:00+00,,no,Kung,t,line,950,,t,f,f,f,car,f,f,
9865,1130,180,"{""heart-set&redvelvet,ganache.pinkgold"":1}",,,,qr,2021-02-09 15:41:16.161131+00,2021-02-12 05:00:00+00,,free,Gyan,t,ig,950,,t,f,f,f,car,f,f,
9866,835,185,"{""giftboxcookie"":[{""count"":""5"",""price"":650,""quantity"":1,""id"":""3wd5e82h8fv"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":0,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":1,""MRS CLAUS OATMEAL COOKIE"":1,""extra"":"""",""title"":""Small box of 5""}]}",,,,qr,2021-02-09 16:08:11.020528+00,2021-02-12 01:00:00+00,,no,Gyan,t,ig,650,,t,f,f,t,bike,f,f,
9915,668,178,"{""heart-S&redvelvet.pink"":1}",,,,qr,2021-02-10 09:53:43.589872+00,2021-02-13 07:00:00+00,,no,Kung,t,ig,490,,t,t,f,f,bike,f,f,
8584,2423,173,"{""heart-L&ganache.pink"":1,""pbj"":2}",,,,qr,2021-01-26 09:56:52.72669+00,2021-01-29 08:00:00+00,,no,Gyan,t,line,2250,,t,f,f,f,car,f,f,
10064,2735,185,"{""deathchoc"":2,""deathchoccake-1lb"":1,""salt"":5,""redvelvet"":5}",,,,qr,2021-02-12 11:51:52.110833+00,2021-02-15 02:00:00+00,,no,Amy,t,line,2550,,t,f,f,t,car,f,f,
9982,1200,250,"{""heart-set&redvelvet,ganache.pinkgold"":1}",,,,qr,2021-02-11 08:32:50.335075+00,2021-02-13 07:00:00+00,,no,Amy,t,line,950,,t,f,f,f,car,f,f,
10065,360,0,"{""strawcheese"":2}",,,,qr,2021-02-12 11:56:14.598518+00,2021-02-12 12:30:00+00,,no,Kung,t,line,400,40,f,f,f,f,bike,f,f,
